OBR;10060 CUSTO;01.03.01;C00392;I19750;REDE COLETORA DE ESGOTO;
OBR;10060 CUSTO;01.03.02;C00432;;EEE - ESTACAO ELEVATORIA DE ESGOTO;
OBR;10060 CUSTO;01.03.02;C00432;I19790;EEE - ESTACAO ELEVATORIA DE ESGOTO;
OBR;10060 CUSTO;01.03.03;C00430;;ETE - ESTACAO DE TRATAMENTO DE ESGOTO;
OBR;10060 CUSTO;01.03.03;C00430;I19788;ETE - ESTACAO DE TRATAMENTO DE ESGOTO;
OBR;10060 CUSTO;01.03.04;C00433;;EMISSARIO;
OBR;10060 CUSTO;01.03.04;C00433;I19791;EMISSARIO;
OBR;10060 CUSTO;01.03.05;-1;-1;PAVIMENTACAO (LOTEAMENTO);
OBR;10060 CUSTO;01.03.05;C00393;;PAVIMENTACAO (LOTEAMENTO);
OBR;10060 CUSTO;01.03.05;C00393;I19751;PAVIMENTACAO (LOTEAMENTO);
OBR;10060 CUSTO;01.03.06;-1;-1;INSTALACAO DE REDE ELETRICA E ILUMINACAO PUBLICA (LOTEAMENTO);
OBR;10060 CUSTO;01.03.06;C00394;;INSTALACAO DE REDE ELETRICA E ILUMINACAO PUBLICA (LOTEAMENTO);
OBR;10060 CUSTO;01.03.06;C00394;I19752;INSTALACAO DE REDE ELETRICA E ILUMINACAO PUBLICA (LOTEAMENTO);
OBR;10060 CUSTO;1,04;-1;-1;PRODUTO ( CASA / SOBRADO);
OBR;10060 CUSTO;01.04.01;C00578;;FUNDACAO;
OBR;10060 CUSTO;01.04.01;C00578;I20314;FUNDACAO;
OBR;10060 CUSTO;01.04.02;C00609;;CONTENCAO;
OBR;10060 CUSTO;01.04.02;C00609;I21154;CONTENCAO;
OBR;10060 CUSTO;01.04.03;C00579;;PAREDES / VEDACOES;
OBR;10060 CUSTO;01.04.03;C00579;I19917;PAREDES / VEDACOES;
OBR;10060 CUSTO;01.04.04;C00516;;ESQUADRIAS EM ALUMINIO;
OBR;10060 CUSTO;01.04.04;C00516;I19918;ESQUADRIAS EM ALUMINIO;
OBR;10060 CUSTO;01.04.05;C00517;;ESQUADRIAS EM MADEIRA;
OBR;10060 CUSTO;01.04.05;C00517;I19919;ESQUADRIAS EM MADEIRA;
OBR;10060 CUSTO;01.04.06;C00518;;ESQUADRIAS EM FERRO;
OBR;10060 CUSTO;01.04.06;C00518;I19920;ESQUADRIAS EM FERRO;
OBR;10060 CUSTO;01.04.07;C00594;;ESQUADRIAS EM PVC;
OBR;10060 CUSTO;01.04.07;C00594;I20365;ESQUADRIAS EM PVC;
OBR;10060 CUSTO;01.04.08;C00595;;FACHADA MODULAR / UNITIZADA;
OBR;10060 CUSTO;01.04.08;C00595;I20366;FACHADA MODULAR / UNITIZADA;
OBR;10060 CUSTO;01.04.09;C00520;;INSTALACAO ELETRICA;
OBR;10060 CUSTO;01.04.09;C00520;I19922;INSTALACAO ELETRICA;
OBR;10060 CUSTO;01.04.10;C00521;;INSTALACAO TELEFONICA;
OBR;10060 CUSTO;01.04.10;C00521;I19923;INSTALACAO TELEFONICA;
OBR;10060 CUSTO;01.04.11;C00596;;INSTALACAO DE DADOS ESTRUTURADOS;
OBR;10060 CUSTO;01.04.11;C00596;I20367;INSTALACAO DE DADOS ESTRUTURADOS;
OBR;10060 CUSTO;01.04.12;C00522;;ANTENA;
OBR;10060 CUSTO;01.04.12;C00522;I19924;ANTENA;
OBR;10060 CUSTO;01.04.13;C00523;;INSTALACAO SPDA;
OBR;10060 CUSTO;01.04.13;C00523;I19925;INSTALACAO SPDA;
OBR;10060 CUSTO;01.04.14;C00524;;LUMINARIAS;
OBR;10060 CUSTO;01.04.14;C00524;I19926;LUMINARIAS;
OBR;10060 CUSTO;01.04.15;C00525;;INSTALACAO HIDRAULICA;
OBR;10060 CUSTO;01.04.15;C00525;I19927;INSTALACAO HIDRAULICA;
OBR;10060 CUSTO;01.04.16;C00526;;INSTALACAO SANITARIA;
OBR;10060 CUSTO;01.04.16;C00526;I19928;INSTALACAO SANITARIA;
OBR;10060 CUSTO;01.04.17;C00527;;INSTALACAO GAS;
OBR;10060 CUSTO;01.04.17;C00527;I19929;INSTALACAO GAS;
OBR;10060 CUSTO;01.04.18;C00528;;INSTALACAO INCENDIO;
OBR;10060 CUSTO;01.04.18;C00528;I19930;INSTALACAO INCENDIO;
OBR;10060 CUSTO;01.04.19;C00529;;DRENO AR CONDICIONADO;
OBR;10060 CUSTO;01.04.19;C00529;I19931;DRENO AR CONDICIONADO;
OBR;10060 CUSTO;01.04.20;C00530;;EXAUSTAO DE BANHEIROS;
OBR;10060 CUSTO;01.04.20;C00530;I19932;EXAUSTAO DE MECANICA;
OBR;10060 CUSTO;01.04.21;C00531;;PRESSURIZACAO MECANICA;
OBR;10060 CUSTO;01.04.21;C00531;I19933;PRESSURIZACAO MECANICA;
OBR;10060 CUSTO;01.04.22;C00532;;REDE FRIGORIGENA;
OBR;10060 CUSTO;01.04.22;C00532;I19934;REDE FRIGORIGENA;
OBR;10060 CUSTO;01.04.23;C00533;;EQUIPAMENTOS DE AR CONDICIONADO;
OBR;10060 CUSTO;01.04.23;C00533;I19935;EQUIPAMENTOS DE AR CONDICIONADO;
OBR;10060 CUSTO;01.04.24;C00534;;ELEVADOR;
OBR;10060 CUSTO;01.04.24;C00534;I19936;ELEVADOR;
OBR;10060 CUSTO;01.04.25;C00535;;LOUCAS;
OBR;10060 CUSTO;01.04.25;C00535;I19937;LOUCAS;
OBR;10060 CUSTO;01.04.26;C00536;;METAIS;
OBR;10060 CUSTO;01.04.26;C00536;I19938;METAIS;
OBR;10060 CUSTO;01.04.27;C00537;;BANCADAS;
OBR;10060 CUSTO;01.04.27;C00537;I19939;BANCADAS;
OBR;10060 CUSTO;01.04.28;C00538;;ACESSORIOS;
OBR;10060 CUSTO;01.04.28;C00538;I19940;ACESSORIOS;
OBR;10060 CUSTO;01.04.29;C00539;;IMPERMEABILIZACAO;
OBR;10060 CUSTO;01.04.29;C00539;I19941;IMPERMEABILIZACAO;
OBR;10060 CUSTO;01.04.30;C00542;;TRATAMENTO DE JUNTA DE DILATACAO;
OBR;10060 CUSTO;01.04.30;C00542;I19944;TRATAMENTO DE JUNTA DE DILATACAO;
OBR;10060 CUSTO;01.04.31;C00597;;TRATAMENTO / ISOLAMENTO ACUSTICO;
OBR;10060 CUSTO;01.04.31;C00597;I20368;TRATAMENTO / ISOLAMENTO ACUSTICO;
OBR;10060 CUSTO;01.04.32;C00598;;TRATAMENTO / ISOLAMENTO TERMICO;
OBR;10061 CUSTO;01.04.32;C00598;I20369;TRATAMENTO / ISOLAMENTO TERMICO;
OBR;10062 CUSTO;01.04.33;C00543;;REVESTIMENTOS DE PAREDES INTERNAS E ARREMATES;
OBR;10063 CUSTO;01.04.33;C00543;I19945;REVESTIMENTOS DE PAREDES INTERNAS E ARREMATES;
OBR;10064 CUSTO;01.04.34;C00544;;REVESTIMENTOS DE PAREDES EXTERNAS E ARREMATES;
OBR;10065 CUSTO;01.04.34;C00544;I19946;REVESTIMENTOS DE PAREDES EXTERNAS E ARREMATES;
OBR;10066 CUSTO;01.04.35;C00545;;REVESTIMENTO DE TETO;
