APT;10050 DEVOLUCAO/ESTORNO;8.05;-1;-1;DEVOLUCAO E ESTORNO (CONCILIACAO);
APT;10050 DEVOLUCAO/ESTORNO;08.05.01;C00506;;DEVOLUCAO E ESTORNO (CONCILIACAO);
APT;10050 DEVOLUCAO/ESTORNO;08.05.01;C00506;;**;
